year,revenue,assets,CIK,ticker,asset_growth
2018.0,14537000000,17773000000,0000006951,AMAT,
2019.0,3754000000,19024000000,0000006951,AMAT,0.07038766668542173
2009.0,32396000000,60038000000,0000018230,CAT,
2010.0,7298000000,64020000000,0000018230,CAT,0.06632466104800283
2011.0,17243000000,81446000000,0000018230,CAT,0.272196188691034
2012.0,12949000000,64020000000,0000018230,CAT,-0.2139577143137784
2013.0,15981000000,84896000000,0000018230,CAT,0.3260855982505466
2014.0,65875000000,84681000000,0000018230,CAT,-0.0025325103656238523
2015.0,55656000000,78497000000,0000018230,CAT,-0.07302700723893196
2016.0,12317000000,78342000000,0000018230,CAT,-0.0019745977553282668
2017.0,10342000000,76962000000,0000018230,CAT,-0.017615072374971286
2018.0,14342000000,78509000000,0000018230,CAT,0.02010082898053578
2019.0,45462000000,78453000000,0000018230,CAT,-0.000713294017246402
2020.0,13466000000,78453000000,0000018230,CAT,0.0
2021.0,50971000000,82793000000,0000018230,CAT,0.05531974558015618
2022.0,59427000000,81943000000,0000018230,CAT,-0.010266568429698197
2023.0,67060000000,87476000000,0000018230,CAT,0.06752254616013564
2024.0,64809000000,87764000000,0000018230,CAT,0.0032923316109561007
2009.0,100434000000,2031989000000,0000019617,JPM,
2009.0,100434000000,2031989000000,0000019617,JPM-PD,0.0
2009.0,100434000000,2031989000000,0000019617,JPM-PC,0.0
2009.0,100434000000,2031989000000,0000019617,JPM-PJ,0.0
2009.0,100434000000,2031989000000,0000019617,AMJB,0.0
2009.0,100434000000,2031989000000,0000019617,JPM-PK,0.0
2009.0,100434000000,2031989000000,0000019617,JPM-PL,0.0
2009.0,100434000000,2031989000000,0000019617,JPM-PM,0.0
2009.0,100434000000,2031989000000,0000019617,VYLD,0.0
2010.0,102694000000,2117605000000,0000019617,JPM,0.04213408635578242
2010.0,102694000000,2117605000000,0000019617,JPM-PD,0.0
2010.0,102694000000,2117605000000,0000019617,JPM-PC,0.0
2010.0,102694000000,2117605000000,0000019617,JPM-PJ,0.0
2010.0,102694000000,2117605000000,0000019617,AMJB,0.0
2010.0,102694000000,2117605000000,0000019617,JPM-PK,0.0
2010.0,102694000000,2117605000000,0000019617,JPM-PL,0.0
2010.0,102694000000,2117605000000,0000019617,JPM-PM,0.0
2010.0,102694000000,2117605000000,0000019617,VYLD,0.0
2011.0,97234000000,2265792000000,0000019617,JPM,0.06997858429688253
2011.0,97234000000,2265792000000,0000019617,JPM-PD,0.0
2011.0,97234000000,2265792000000,0000019617,JPM-PC,0.0
2011.0,97234000000,2265792000000,0000019617,JPM-PJ,0.0
2011.0,97234000000,2265792000000,0000019617,AMJB,0.0
2011.0,97234000000,2265792000000,0000019617,JPM-PK,0.0
2011.0,97234000000,2265792000000,0000019617,JPM-PL,0.0
2011.0,97234000000,2265792000000,0000019617,JPM-PM,0.0
2011.0,97234000000,2265792000000,0000019617,VYLD,0.0
2012.0,102694000000,2359141000000,0000019617,JPM,0.04119928042821219
2012.0,102694000000,2359141000000,0000019617,JPM-PD,0.0
2012.0,102694000000,2359141000000,0000019617,JPM-PC,0.0
2012.0,102694000000,2359141000000,0000019617,JPM-PJ,0.0
2012.0,102694000000,2359141000000,0000019617,AMJB,0.0
2012.0,102694000000,2359141000000,0000019617,JPM-PK,0.0
2012.0,102694000000,2359141000000,0000019617,JPM-PL,0.0
2012.0,102694000000,2359141000000,0000019617,JPM-PM,0.0
2012.0,102694000000,2359141000000,0000019617,VYLD,0.0
2013.0,96606000000,2359141000000,0000019617,JPM,0.0
2013.0,96606000000,2359141000000,0000019617,JPM-PD,0.0
2013.0,96606000000,2359141000000,0000019617,JPM-PC,0.0
2013.0,96606000000,2359141000000,0000019617,JPM-PJ,0.0
2013.0,96606000000,2359141000000,0000019617,AMJB,0.0
2013.0,96606000000,2359141000000,0000019617,JPM-PK,0.0
2013.0,96606000000,2359141000000,0000019617,JPM-PL,0.0
2013.0,96606000000,2359141000000,0000019617,JPM-PM,0.0
2013.0,96606000000,2359141000000,0000019617,VYLD,0.0
2014.0,94205000000,2573126000000,0000019617,JPM,0.09070462511566713
2014.0,94205000000,2573126000000,0000019617,JPM-PD,0.0
2014.0,94205000000,2573126000000,0000019617,JPM-PC,0.0
2014.0,94205000000,2573126000000,0000019617,JPM-PJ,0.0
2014.0,94205000000,2573126000000,0000019617,AMJB,0.0
2014.0,94205000000,2573126000000,0000019617,JPM-PK,0.0
2014.0,94205000000,2573126000000,0000019617,JPM-PL,0.0
2014.0,94205000000,2573126000000,0000019617,JPM-PM,0.0
2014.0,94205000000,2573126000000,0000019617,VYLD,0.0
2015.0,93543000000,2351698000000,0000019617,JPM,-0.08605408363212685
2015.0,93543000000,2351698000000,0000019617,JPM-PD,0.0
2015.0,93543000000,2351698000000,0000019617,JPM-PC,0.0
2015.0,93543000000,2351698000000,0000019617,JPM-PJ,0.0
2015.0,93543000000,2351698000000,0000019617,AMJB,0.0
2015.0,93543000000,2351698000000,0000019617,JPM-PK,0.0
2015.0,93543000000,2351698000000,0000019617,JPM-PL,0.0
2015.0,93543000000,2351698000000,0000019617,JPM-PM,0.0
2015.0,93543000000,2351698000000,0000019617,VYLD,0.0
2016.0,95668000000,2572274000000,0000019617,JPM,0.0937943562481236
2016.0,95668000000,2572274000000,0000019617,JPM-PD,0.0
2016.0,95668000000,2572274000000,0000019617,JPM-PC,0.0
2016.0,95668000000,2572274000000,0000019617,JPM-PJ,0.0
2016.0,95668000000,2572274000000,0000019617,AMJB,0.0
2016.0,95668000000,2572274000000,0000019617,JPM-PK,0.0
2016.0,95668000000,2572274000000,0000019617,JPM-PL,0.0
2016.0,95668000000,2572274000000,0000019617,JPM-PM,0.0
2016.0,95668000000,2572274000000,0000019617,VYLD,0.0
2017.0,95668000000,2533600000000,0000019617,JPM,-0.015034945732841809
2017.0,95668000000,2533600000000,0000019617,JPM-PD,0.0
2017.0,95668000000,2533600000000,0000019617,JPM-PC,0.0
2017.0,95668000000,2533600000000,0000019617,JPM-PJ,0.0
2017.0,95668000000,2533600000000,0000019617,AMJB,0.0
2017.0,95668000000,2533600000000,0000019617,JPM-PK,0.0
2017.0,95668000000,2533600000000,0000019617,JPM-PL,0.0
2017.0,95668000000,2533600000000,0000019617,JPM-PM,0.0
2017.0,95668000000,2533600000000,0000019617,VYLD,0.0
2018.0,109029000000,2622532000000,0000019617,JPM,0.03510104199557951
2018.0,109029000000,2622532000000,0000019617,JPM-PD,0.0
2018.0,109029000000,2622532000000,0000019617,JPM-PC,0.0
2018.0,109029000000,2622532000000,0000019617,JPM-PJ,0.0
2018.0,109029000000,2622532000000,0000019617,AMJB,0.0
2018.0,109029000000,2622532000000,0000019617,JPM-PK,0.0
2018.0,109029000000,2622532000000,0000019617,JPM-PL,0.0
2018.0,109029000000,2622532000000,0000019617,JPM-PM,0.0
2018.0,109029000000,2622532000000,0000019617,VYLD,0.0
2019.0,115627000000,2687379000000,0000019617,JPM,0.024726867012490272
2019.0,115627000000,2687379000000,0000019617,JPM-PD,0.0
2019.0,115627000000,2687379000000,0000019617,JPM-PC,0.0
2019.0,115627000000,2687379000000,0000019617,JPM-PJ,0.0
2019.0,115627000000,2687379000000,0000019617,AMJB,0.0
2019.0,115627000000,2687379000000,0000019617,JPM-PK,0.0
2019.0,115627000000,2687379000000,0000019617,JPM-PL,0.0
2019.0,115627000000,2687379000000,0000019617,JPM-PM,0.0
2019.0,115627000000,2687379000000,0000019617,VYLD,0.0
2020.0,108783000000,3386071000000,0000019617,JPM,0.25999012420652234
2020.0,108783000000,3386071000000,0000019617,JPM-PD,0.0
2020.0,108783000000,3386071000000,0000019617,JPM-PC,0.0
2020.0,108783000000,3386071000000,0000019617,JPM-PJ,0.0
2020.0,108783000000,3386071000000,0000019617,AMJB,0.0
2020.0,108783000000,3386071000000,0000019617,JPM-PK,0.0
2020.0,108783000000,3386071000000,0000019617,JPM-PL,0.0
2020.0,108783000000,3386071000000,0000019617,JPM-PM,0.0
2020.0,108783000000,3386071000000,0000019617,VYLD,0.0
2021.0,121649000000,3384757000000,0000019617,JPM,-0.0003880603803050331
2021.0,121649000000,3384757000000,0000019617,JPM-PD,0.0
2021.0,121649000000,3384757000000,0000019617,JPM-PC,0.0
2021.0,121649000000,3384757000000,0000019617,JPM-PJ,0.0
2021.0,121649000000,3384757000000,0000019617,AMJB,0.0
2021.0,121649000000,3384757000000,0000019617,JPM-PK,0.0
2021.0,121649000000,3384757000000,0000019617,JPM-PL,0.0
2021.0,121649000000,3384757000000,0000019617,JPM-PM,0.0
2021.0,121649000000,3384757000000,0000019617,VYLD,0.0
2022.0,128695000000,3665743000000,0000019617,JPM,0.08301511748110713
2022.0,128695000000,3665743000000,0000019617,JPM-PD,0.0
2022.0,128695000000,3665743000000,0000019617,JPM-PC,0.0
2022.0,128695000000,3665743000000,0000019617,JPM-PJ,0.0
2022.0,128695000000,3665743000000,0000019617,AMJB,0.0
2022.0,128695000000,3665743000000,0000019617,JPM-PK,0.0
2022.0,128695000000,3665743000000,0000019617,JPM-PL,0.0
2022.0,128695000000,3665743000000,0000019617,JPM-PM,0.0
2022.0,128695000000,3665743000000,0000019617,VYLD,0.0
2023.0,158104000000,3875393000000,0000019617,JPM,0.05719167983134654
2023.0,158104000000,3875393000000,0000019617,JPM-PD,0.0
2023.0,158104000000,3875393000000,0000019617,JPM-PC,0.0
2023.0,158104000000,3875393000000,0000019617,JPM-PJ,0.0
2023.0,158104000000,3875393000000,0000019617,AMJB,0.0
2023.0,158104000000,3875393000000,0000019617,JPM-PK,0.0
2023.0,158104000000,3875393000000,0000019617,JPM-PL,0.0
2023.0,158104000000,3875393000000,0000019617,JPM-PM,0.0
2023.0,158104000000,3875393000000,0000019617,VYLD,0.0
2024.0,177556000000,4002814000000,0000019617,JPM,0.03287950409158502
2024.0,177556000000,4002814000000,0000019617,JPM-PD,0.0
2024.0,177556000000,4002814000000,0000019617,JPM-PC,0.0
2024.0,177556000000,4002814000000,0000019617,JPM-PJ,0.0
2024.0,177556000000,4002814000000,0000019617,AMJB,0.0
2024.0,177556000000,4002814000000,0000019617,JPM-PK,0.0
2024.0,177556000000,4002814000000,0000019617,JPM-PL,0.0
2024.0,177556000000,4002814000000,0000019617,JPM-PM,0.0
2024.0,177556000000,4002814000000,0000019617,VYLD,0.0
2018.0,31856000000,83216000000,0000021344,KO,
2019.0,37266000000,86381000000,0000021344,KO,0.03803355124014618
2020.0,33014000000,86381000000,0000021344,KO,0.0
2021.0,37266000000,94354000000,0000021344,KO,0.09230039013208913
2022.0,43004000000,92763000000,0000021344,KO,-0.016862030226593494
2023.0,45754000000,97703000000,0000021344,KO,0.053253991354311525
2024.0,47061000000,100549000000,0000021344,KO,0.029129095319488707
2011.0,467029000000,331052000000,0000034088,XOM,
2012.0,453123000000,333795000000,0000034088,XOM,0.008285707381317842
2013.0,420836000000,333795000000,0000034088,XOM,0.0
2014.0,451509000000,349493000000,0000034088,XOM,0.04702886502194459
2015.0,259488000000,336758000000,0000034088,XOM,-0.036438498052893786
2016.0,218608000000,349493000000,0000034088,XOM,0.037816473550739804
2017.0,237162000000,348691000000,0000034088,XOM,-0.0022947526846031074
2018.0,237162000000,346196000000,0000034088,XOM,-0.007155332371641343
2019.0,264938000000,362597000000,0000034088,XOM,0.04737489745693191
2020.0,181502000000,332750000000,0000034088,XOM,-0.08231452549248885
2021.0,285640000000,332750000000,0000034088,XOM,0.0
2022.0,285640000000,369067000000,0000034088,XOM,0.1091419984973705
2023.0,344582000000,376317000000,0000034088,XOM,0.019644129656674725
2024.0,349585000000,453475000000,0000034088,XOM,0.20503458520343232
2009.0,156783000000,781818000000,0000040545,GE,
2010.0,12325000000,751216000000,0000040545,GE,-0.03914210212607028
2011.0,147300000000,717242000000,0000040545,GE,-0.04522534131328404
2012.0,12015000000,748491000000,0000040545,GE,0.04356827960437348
2013.0,146684000000,656560000000,0000040545,GE,-0.12282178409626832
2014.0,146045000000,648349000000,0000040545,GE,-0.012506092360180299
2015.0,113245000000,492692000000,0000040545,GE,-0.24008211626762743
2016.0,2649000000,365183000000,0000040545,GE,-0.25880063000819986
2017.0,117386000000,365183000000,0000040545,GE,0.0
2018.0,119469000000,309129000000,0000040545,GE,-0.1534956446493949
2019.0,95214000000,266048000000,0000040545,GE,-0.1393625314997946
2020.0,79619000000,253452000000,0000040545,GE,-0.047344840028866964
2021.0,20303000000,256211000000,0000040545,GE,0.010885690387134384
2022.0,18569000000,187788000000,0000040545,GE,-0.26705723017356786
2023.0,19423000000,163045000000,0000040545,GE,-0.131760282872175
2024.0,29139000000,123140000000,0000040545,GE,-0.24474838234843144
2025.0,45855000000,130169000000,0000040545,GE,0.057081370797466224
2009.0,95758000000,109022000000,0000051143,IBM,
2010.0,99870000000,113452000000,0000051143,IBM,0.04063400047696786
2011.0,106916000000,116433000000,0000051143,IBM,0.026275429256425564
2012.0,99870000000,113452000000,0000051143,IBM,-0.02560270713629298
2013.0,99751000000,126223000000,0000051143,IBM,0.11256742939745434
2014.0,92793000000,117532000000,0000051143,IBM,-0.06885432924268953
2015.0,81741000000,110495000000,0000051143,IBM,-0.059873055848619905
2016.0,79919000000,117470000000,0000051143,IBM,0.06312502828182276
2017.0,79919000000,117470000000,0000051143,IBM,0.0
2018.0,79591000000,123382000000,0000051143,IBM,0.05032774325359668
2019.0,77147000000,152186000000,0000051143,IBM,0.2334538263279895
2020.0,79591000000,155971000000,0000051143,IBM,0.024870881684254886
2021.0,57350000000,155971000000,0000051143,IBM,0.0
2022.0,60530000000,127243000000,0000051143,IBM,-0.18418808624680227
2023.0,61860000000,135241000000,0000051143,IBM,0.06285610996282709
2024.0,62753000000,137175000000,0000051143,IBM,0.014300397068936155
2009.0,21836000000,27460900000,0000059478,LLY,
2010.0,23076000000,31001400000,0000059478,LLY,0.1289287678116886
2011.0,24286500000,33659800000,0000059478,LLY,0.08575096608540256
2012.0,22603400000,34398900000,0000059478,LLY,0.02195794389746819
2013.0,5808800000,35248700000,0000059478,LLY,0.024704278334481522
2014.0,22603400000,37178200000,0000059478,LLY,0.054739607418145875
2015.0,5375600000,35568900000,0000059478,LLY,-0.04328611928495729
2016.0,4644700000,35568900000,0000059478,LLY,0.0
2017.0,6160700000,44981000000,0000059478,LLY,0.2646159988079473
2018.0,21222100000,43908400000,0000059478,LLY,-0.023845623707787755
